time,open,high,low,close,tick_volume,spread,real_volume
2024-06-02,2328.496,2328.76,2323.339,2325.937,6618,199,0
2024-06-03,2325.967,2354.746,2314.667,2350.629,143450,199,0
2024-06-04,2350.641,2352.798,2315.52,2328.786,147367,199,0
2024-06-05,2328.79,2357.53,2325.827,2355.012,136398,199,0
2024-06-06,2355.008,2378.522,2353.345,2376.73,137866,199,0
2024-06-07,2376.735,2387.696,2286.726,2293.801,196637,199,0
2024-06-09,2290.431,2300.041,2290.38,2298.479,7169,199,0
2024-06-10,2298.48,2313.761,2287.707,2309.947,120000,199,0
2024-06-11,2309.929,2319.95,2297.625,2315.071,132115,199,0
2024-06-12,2315.056,2341.624,2310.675,2320.55,172586,199,0
2024-06-13,2320.569,2326.755,2295.463,2302.336,145902,199,0
2024-06-14,2302.383,2336.56,2301.499,2332.826,127362,199,0
2024-06-16,2331.087,2331.482,2327.411,2328.874,4386,199,0
2024-06-17,2328.918,2328.948,2309.952,2320.645,110274,199,0
2024-06-18,2320.634,2333.08,2306.502,2328.255,119928,199,0
2024-06-19,2328.272,2334.963,2323.64,2329.342,73424,199,0
2024-06-20,2329.351,2365.5,2327.74,2360.747,127496,199,0
2024-06-21,2360.764,2368.742,2316.655,2321.503,135484,199,0
2024-06-23,2321.11,2322.193,2317.683,2319.184,5097,199,0
2024-06-24,2319.17,2334.635,2317.866,2330.876,109949,199,0
2024-06-25,2330.869,2337.086,2315.436,2320.028,117114,199,0
2024-06-26,2319.977,2323.896,2293.524,2298.401,129569,199,0
2024-06-27,2298.412,2330.936,2296.429,2327.72,116263,199,0
2024-06-28,2327.663,2339.809,2318.988,2326.638,115805,199,0
2024-06-30,2322.849,2326.157,2322.838,2324.933,4763,199,0
2024-07-01,2324.952,2338.472,2318.442,2332.222,114497,199,0
2024-07-02,2332.216,2336.78,2319.004,2330.18,111888,199,0
2024-07-03,2330.177,2364.926,2326.819,2358.699,118479,199,0
2024-07-04,2358.721,2362.533,2350.364,2356.721,72008,199,0
2024-07-05,2356.753,2392.929,2347.403,2391.557,127400,199,0
2024-07-07,2389.586,2390.178,2384.767,2386.117,5356,199,0
2024-07-08,2386.065,2391.085,2350.975,2361.71,121976,199,0
2024-07-09,2361.738,2371.573,2349.312,2364.966,122001,199,0
2024-07-10,2364.944,2386.696,2363.304,2372.852,101987,199,0
2024-07-11,2372.832,2424.538,2371.391,2415.857,157030,199,0
2024-07-12,2415.851,2418.241,2391.378,2411.399,121729,199,0
2024-07-14,2411.618,2412.238,2405.677,2408.657,6531,179,0
2024-07-15,2408.659,2439.761,2401.296,2422.496,131657,162,0
2024-07-16,2422.482,2469.967,2419.914,2468.278,147738,179,0
2024-07-17,2468.268,2483.753,2451.407,2461.296,180181,179,0
